Model,Dataset,Train,Nrestarts,cp,MaxDepth,in_sample,out_sample,seconds,VarImp
OCT MIO,Lending club,100,-,0.0001,4,0.88,0.674,563.5,"15,12,14,8,8"
Serial,Lending club,100,50,0.0001,4,0.8,0.721,31.24,"12,5,10,12,11,7,3"
Threaded Restarts,Lending club,100,50,0.0001,4,0.8,0.721,25,"12,5,10,12,11,7,3"
Half,Lending club,100,50,0.0001,4,0.8,0.721,16.75,"7,10,14,9,11,7,3"
Deep,Lending club,100,50,0.0001,4,0.8,0.721,38.19,"12,5,10,12,11,7,3"
z,Lending club,100,50,0.0001,4,0.8,0.721,134.15,"12,5,10,12,11,7,3"
OCT MIO,Lending club,200,0,0.0001,4,0.855,0.767,0,"11,10,10,14,12,11,8,12,11,8,11"
Serial,Lending club,200,50,0.0001,4,0.765,0.814,177.46,"12,14,11,12,10,1,7,1"
Threaded Restarts,Lending club,200,50,0.0001,4,0.765,0.814,170.28,"12,14,11,12,10,1,7,1"
Half,Lending club,200,50,0.0001,4,0.765,0.814,134.53,"12,14,11,12,10,1,7,1"
Deep,Lending club,200,50,0.0001,4,0.765,0.814,205.74,10，8，14，14，10，12，4，3，1，8
z,Lending club,200,50,0.0001,4,0.765,0.814,647.68,"12,14,11,12,10,1,7,1"
Serial,Lending club,500,50,0.0001,4,0.784,0.828,2460.72,0
Threaded Restarts,Lending club,500,20,0.0001,5,0.784,0.828,174.09,12
Half,Lending club,500,20,0.1,5,0.784,0.828,164.62,"11,12,7"
Half,Lending Club,1000,10,0.1,5,0.8,0.8,416.96,"12,11,7"
OCT MIO,Lending club,100,0,0.1,4,0.83,0.698,512.3,12
Serial,Lending club,100,50,0.1,4,0.8,0.721,27.16,12
Threaded Restarts,Lending club,100,50,0.1,4,0.8,0.721,23.92,12
Half,Lending club,100,50,0.1,4,0.8,0.721,14.16,"12,7"
Deep,Lending club,100,50,0.1,4,0.8,0.721,29.5,12
z,Lending club,100,50,0.1,4,0.8,0.721,289.53,12
OCT MIO,Lending club,200,50,0.1,4,0.78,0.76,0,12
Serial,Lending club,200,50,0.1,4,0.77,0.81,116,12
Threaded Restarts,Lending club,200,50,0.1,4,0.77,0.81,112.76,12
Half,Lending club,200,50,0.1,4,0.77,0.81,92.21,"12,12"
Deep,Lending club,200,50,0.1,4,0.77,0.81,113.96,12
Serial,Lending club,500,50,0.1,4,0.784,0.828,2460.72,0
Serial,Iris,100,50,0.0001,2,0.67,0.67,5.62,"1,2,4,3,2,4"
Threaded Restarts,Iris,100,50,0.0001,2,0.67,0.67,5.06,"1,2,4,3,2,4"
Half,Iris,100,50,0.0001,2,0.67,0.67,3.05,"1,2,4,3,2,4"
Deep,Iris,100,50,0.0001,2,0.67,0.67,9.41,"1,3,4,2,3"
z,Iris,100,50,0.0001,2,0.67,0.67,169.15,"1,2,4,3,2,4"
Random Forest,Iris,100,0,0.0001,2,0.97,0.98,0,0
OCT MIO,Iris,100,0,0.1,2,0.78,0.76,24.83,12
Serial,Iris,100,50,0.1,2,0.57,0.56,3.51,"4,4"
Threaded Restarts,Iris,100,50,0.1,2,0.57,0.56,1.49,"4,4"
Half,Iris,100,50,0.1,2,0.57,0.56,2.72,"4,4"
Deep,Iris,100,50,0.1,2,0.57,0.56,5.48,"4,4"
z,Iris,100,50,0.1,2,0.57,0.56,170.53,"4,4"
Random Forest,Iris,100,0,0,2,0.96,0.98,0,0
OCT MIO,Iris,100,0,0.0001,2,0.8,0.74,54.34,"2,12,12"
Serial,Iris,100,100,0.0001,2,0.67,0.68,10.92,"1,2,4,3,2,4"
Threaded Restarts,Iris,100,100,0.0001,2,0.67,0.68,8.63,"1,2,4,3,2,4"
Half,Iris,100,100,0.0001,2,0.67,0.68,5.88,"1,2,4,3,2,4"
Deep,Iris,100,100,0.0001,2,0.67,0.68,17.39,"1,3,4,2,3"
z,Iris,100,100,0.0001,2,0.67,0.68,173.09,"1,2,4,3,2,4"
Random Forest,Iris,100,0,0.0001,2,0.97,0.98,0,0
